"Entity type","Term","ID","Print name","Parents","Definition","Expanded definition","Example usage","See also","Synonyms","Acronym","Notes"
"Class","variable data","DATAHUB:0000109","","data","Variable data is data that consists of measured, observed, or recorded values associated with a specific variable within a dataset, where the values can differ across records, observations, or samples.","","","","Data Values|Observed Data|Variable-Level Data","",""
"Class","human study data","DATAHUB:0000110","","data","Human study data is data that is collected, generated, or derived from research involving human participants, including demographic, clinical, behavioral, genomic, laboratory, and other health-related information gathered for the purpose of scientific investigation, clinical trials, observational studies, public health research, or diagnostic development.","","","","Human Subjects Data|Participant Data|Human Participant Study Data","",""
"Class","de-identification technique processed data","DATAHUB:0000111","","data","De-identification technique processed data are data that have undergone a data processing process in which one or more de-identification techniques have been applied to reduce or eliminate the ability to directly or indirectly identify individuals described by the data.","","","","Privacy-Processed Data|Data Processed for Privacy Protection","",""
"Class","de-identified data","DATAHUB:0000112","","de-identification technique processed data","De-identified data is data that has undergone a process to remove or obscure all direct and indirect identifiers that could reasonably be used to identify an individual, thereby reducing the risk of re-identification.","","The research team submitted a de-identified dataset to the RADx Data Hub, ensuring that all participant names, medical record numbers, and contact information were removed or transformed according to approved de-identification protocols.","","De-identified Dataset|Non-Identifiable Data","",""
"Class","pseudonymized data","DATAHUB:0000113","","de-identification technique processed data","Pseudonymized data is data that has undergone a data de-identification process in which direct identifiers have been replaced with pseudonyms (artificial identifiers such as random codes), while a separate, secure key is retained that allows re-linking the pseudonyms to the original identifiers under controlled conditions.","","Prior to sharing the dataset with external collaborators, the research team applied pseudonymization by replacing participant names with randomly assigned study IDs, while keeping a secure key file linking the IDs back to the participants’ identities.","","Coded Data|Key-Coded Data|Indirectly Identifiable Data","",""
"Class","anonymized data","DATAHUB:0000114","","de-identification technique processed data","Anonymized data is data that has undergone a data de-identification process in which all direct and indirect identifiers have been permanently removed, generalized, or transformed such that the data can no longer be linked to the original individuals by any reasonably available means.","","Before publicly releasing the environmental health study data, the team applied anonymization, ensuring that no participant could be identified directly or indirectly from the data.","","Fully De-identified Data|Irreversibly De-identified Data|Non-identifiable Data","",""
"Class","generalized data","DATAHUB:0000115","","de-identification technique processed data","Generalized data is data that has undergone a data de-identification process in which specific values have been replaced by broader, less precise categories or ranges, reducing the level of detail to lower the risk of re-identification.","","In order to reduce re-identification risk, the research team applied generalization to participant birth dates, replacing exact dates (e.g., 1975-06-23) with birth years (e.g., 1975).
","Key aspects of generalized data are:

Applied to quasi-identifiers such as:
    - Dates (e.g., replacing birthdates with birth years).
    - Ages (e.g., replacing exact ages with age ranges).
    - Geographic locations (e.g., truncating ZIP codes to the first three digits).

Balances privacy protection with data utility — more generalization reduces privacy risk but may also reduce analytical precision.

Commonly applied when full removal of a field would compromise the data’s analytical value.

Often used alongside suppression and other de-identification techniques.","Data with Reduced Precision","",""
"Class","suppressed data","DATAHUB:0000116","","de-identification technique processed data","Suppressed data are data that have undergone a data de-identification process in which specific values, fields, or entire records have been intentionally removed or masked to reduce the risk of re-identification or to comply with privacy, confidentiality, or statistical disclosure requirements.","Key aspects of suppression are:

Most often applied to direct identifiers (e.g., name, social security number) and high-risk quasi-identifiers (e.g., rare diagnosis codes in small populations).

May apply to entire records or specific fields within records.

Completely removes values, leaving either a blank, null, or masked entry (e.g., “—” or “[suppressed]”).

May be applied systematically (e.g., removing all phone numbers) or selectively (e.g., suppressing data for small population cells to prevent deductive identification).

Used in combination with generalization, pseudonymization, or other de-identification methods to meet privacy and compliance requirements.","To protect participant privacy, ZIP codes for geographic areas with fewer than 20,000 residents were treated as suppressed data, with the values removed from the dataset before submission to the RADx Data Hub.","","Redacted Data","",""
"Class","zip code truncated data","DATAHUB:0000117","","de-identification technique processed data","ZIP code truncated data are generalized data that have undergone a data de-identification process in which the full ZIP code has been shortened to the first three digits, reducing geographic precision to lower the risk of re-identification.","Key aspects of zip code truncation are:

Applied to postal codes (in the U.S., ZIP codes; in other regions, analogous postal codes).

Reduces precision by removing location granularity, limiting geographic identifiability.

Commonly reduces ZIP codes from 5 digits (e.g., 94110) to 3 digits (e.g., 941).

Based on regulatory standards, such as HIPAA Safe Harbor, which requires ZIP code truncation unless the population in that 3-digit region is too small.

May be combined with suppression if the truncated region contains a population under 20,000, per HIPAA guidelines.","To comply with HIPAA Safe Harbor requirements, the study team provided ZIP code truncated data, removing the last two digits and retaining only the first three digits of each ZIP code.","","Truncated ZIP Data|3-Digit ZIP Data|Geographic Precision-Reduced Data","",""
"Class","age capped data","DATAHUB:0000118","","de-identification technique processed data","Age-capped data are data that have undergone a data de-identification process in which ages exceeding a specified threshold are replaced with a maximum allowable age category, reducing the risk of re-identification for older individuals.","","As part of the de-identification process, the research team provided age-capped data by recording all participants over the age of 89 as ""90 or older"" to comply with HIPAA Safe Harbor requirements.","","Top-Coded Age Data|Maximum Age Data|Upper Limit Age Data","",""
"Class","HIPAA safe harbor data","DATAHUB:0000119","HIPAA Safe Harbor Data","de-identified data","HIPAA Safe Harbor data are health data that have undergone a de-identification process defined by the HIPAA Privacy Rule, in which 18 specific direct and quasi-identifiers have been removed or modified, ensuring the data is considered de-identified under HIPAA standards.","HIPPA Safe Harbor Data has been processed to remove or modify 18 identifiers, including:
    - Names
    - Geographic subdivisions smaller than a state (except the first 3 digits of ZIP codes if population >20,000)
    - All dates directly related to the individual (except year)
    - Telephone numbers
    - Fax numbers
    - Email addresses
    - Social Security numbers
    - Medical record numbers
    - Health plan beneficiary numbers
    - Account numbers
    - Certificate/license numbers
    - Vehicle identifiers and serial numbers
    - Device identifiers and serial numbers
    - Web URLs
    - IP addresses
    - Biometric identifiers (fingerprints, voiceprints)
    - Full-face photographs and comparable images
    - Any other unique identifying number, characteristic, or code

Geographic data may be truncated (e.g., 5-digit ZIP codes reduced to 3 digits).

Individuals aged 90 or older are grouped into a single category (e.g., “90 or older”).

Results in data considered de-identified under HIPAA Privacy Rule.","The RADx Data Hub accepts HIPAA Safe Harbor data from study teams, ensuring that all direct identifiers, including names, addresses, and dates of birth, were removed or generalized.

","","Safe Harbor De-identified Data|HIPAA-Compliant De-identified Data","",""
"Class","information","DATAHUB:0000120","Information","data","Information is data that has been processed, organized, or structured in a way that provides meaning, context, or knowledge to its users. Information arises from data interpretation and can be used to support decision-making, analysis, communication, or reasoning. Unlike raw data, information conveys semantic value by linking data to its context and making it understandable to humans or computational systems.","","","","","",""
"Class","personally identifiable information","DATAHUB:0000121","Personally Identifiable Information (PII)","information","Personally Identifiable Information (PII) is information that can be used to directly or indirectly identify an individual person. This includes data such as names, social security numbers, contact information, medical record numbers, or any other information that, alone or when combined with other data, can reveal a person’s identity. PPI is subject to strict privacy, security, and regulatory protections, especially in research, healthcare, and public health contexts.","Examples of PII are:

Full Name
Address
Phone Number
Social Security Number
Medical Record Number
Email Address
Biometric Data (e.g., fingerprints, facial images)","","","Personal Data","PII",""
"Class","protected health information (phi)","DATAHUB:0000122","Protetected Health Information","information","Protected Health Information (PHI) is individually identifiable health information that is created, received, transmitted, or maintained by a covered entity or business associate in relation to health care, payment for health care, or health care operations, and that is protected under the HIPAA Privacy Rule.","","","","HIPAA-Protected Data|PHI|Individually Identifiable Health Information (under HIPAA)","PHI",""
"Class","date shifted data","DATAHUB:0002072","","de-identified data","Date-shifted data are data that have undergone a data de-identification process in which all dates in a record have been systematically adjusted forward or backward by a consistent, randomly selected offset, preserving the temporal relationships within each record while obscuring the actual calendar dates.

","Key aspects of date shifted data are:

Applied to date fields (e.g., birth date, enrollment date, test date).

Shifts all dates for a single participant or record by the same offset to preserve internal consistency (e.g., ensuring event sequences stay intact).

Each participant (or dataset) can have a unique, random offset, or all records can use a common offset depending on the de-identification policy.

Date shifts are often used in combination with other techniques (e.g., generalization, suppression) to meet privacy standards.

Commonly used to meet HIPAA Expert Determination requirements for de-identification when dates are considered quasi-identifiers.","To de-identify participant data, the study team applied a date shift of +117 days, meaning all event dates (e.g., enrollment date, test date) were shifted forward by exactly 117 days for each participant.","","Temporally Offset Data|Date-Offset Data|Shifted Dates Data","",""
