"Entity type","Term","ID","Print name","Parents","Definition","Expanded definition","Example usage","See also","Synonyms","Acronym","Notes"
"Class","principal investigator","DATAHUB:0002038","Principal Investigator","role","A Principal Investigator (PI) is the lead researcher responsible for the preparation, conduct, and administration of a research grant, cooperative agreement, training or public service project, contract, or other sponsored project. ","Key responsibilities and characteristics include:

- Scientific leadership: The PI designs the research, directs the work, and takes primary responsibility for the intellectual conduct of the project.
- Administrative oversight: They manage the project budget, supervise research staff, and ensure compliance with institutional and sponsor policies.
- Accountability: The PI is accountable to both the funding agency and their institution for proper conduct of the research and appropriate use of funds.
- Qualifications: Typically holds an advanced degree (often a PhD, MD, or equivalent) and has demonstrated expertise in the relevant field.
Institutional requirements: Must meet institution-specific eligibility requirements, which commonly include faculty status or specific appointments.
- Communication: Responsible for reporting research findings through publications, presentations, and required reports to funding agencies.
Ethics and compliance: Ensures the research adheres to ethical standards, including human subjects protection, animal welfare, conflict of interest policies, and research integrity.

In large projects, there may be multiple investigators, but the PI holds primary responsibility. Some grants may have Co-Principal Investigators who share leadership responsibilities.","","","","PI",""
"Class","published manuscript","DATAHUB:0002039","","","A Published Manuscript is a peer-reviewed, publicly accessible scientific document that presents the research findings, methods, results, and conclusions of a study. It is typically published in an academic journal, conference proceedings, or other recognized scholarly outlet and serves as an official record of the study’s contributions to the scientific community.","","","","research article|study publication","",""
"Class","published RADx manuscript","DATAHUB:0002040","","published manuscript","","","","","","",""
"Class","radx data dictionary","DATAHUB:0002042","","metadata","A document defining characteristics of the core data elements used in a study, such as name, description, coded values, and actual values, with one dictionary per high-level data file.","","","","study data dictionary|data description","",""
"Class","specification document","DATAHUB:0002099","","","","","","","","",""
"Class","radx data dictionary specification","DATAHUB:0002043","","specification document","A document outlining how data dictionaries should be formatted and structured.","","","","","",""
"Class","radx data files and conventions document","DATAHUB:0002044","","specification document","A document describing standards for creating and managing data files in the RADx Data Hub.","","","","","",""
"Class","radx data hub partner","DATAHUB:0002046","","","The RADx Data Hub is supported by partnerships with Stanford University, Booz Allen Hamilton, and the Renaissance Computing Institute (RENCI). These partners focus on data hub development, data management, and program management to enable efficient research and collaboration.","","","","data hub collaboration|RADx partnership","RADx DHP
DHP",""
"Class","research","DATAHUB:0002091","","","Research is a kind of systematic investigation undertaken to generate, validate, or refine knowledge in a disciplined and methodical manner.","","","","","",""
"Class","primary research","DATAHUB:0002092","","research","Primary research is a kind of research that is distinguished by its generation of new, firsthand data rather than the use of existing sources.","","","","","",""
"Class","secondary research","DATAHUB:0002051","","research","Secondary research is a kind of research that is characterized by its reliance on pre-existing data sources rather than the direct collection of new data.","","","","data reuse|secondary analysis","",""
"Class","structured description","DATAHUB:0002053","","","Detailed and standardized information about a data file’s attributes, typically included in metadata files.","","","","","",""
"Class","study","DATAHUB:0002054","","","A research protocol or set of experiments designed to investigate research questions or evaluate biomedical or health-related outcomes.","","","","research study|clinical study","",""
"Class","study document","DATAHUB:0002055","","","Supporting materials for research studies, including protocols, forms, and other context-related files.","","","","","",""
"Class","study protocol","DATAHUB:0002056","","study document","Documents describing the design, objectives, and methods of a research study.","","","","","",""
"Class","standard operating procedure","DATAHUB:0002078","","","A standard operating procedure is a formal document that specifies standardized instructions for performing a recurring task or process ","","","","","",""
"Class","radx standard operating procedure","DATAHUB:0002076","","standard operating procedure","A RADx standard operating procedure is a formal document issued by the RADx program that specifies standardized instructions for carrying out RADx-related processes in a consistent and compliant manner.","","","","","",""
"Class","study registration procedure","DATAHUB:0002057","","radx standard operating procedure","A study registration procedure is a RADx standard operating procedure that defines the process for registering a study with the RADx Data Hub, including required documentation, metadata submission, and compliance checks","","","","study submission|research registration|study registration","",""
"Class","human study","DATAHUB:0002065","","study","A human study refers to any type of research that involves human participants to answer specific questions about health, behavior, or biomedical phenomena. These studies are conducted to improve understanding of human biology, evaluate the safety and effectiveness of medical interventions, and address social or psychological questions.","","","","","","Types of Human Studies
Clinical Trials:
Interventional studies where participants receive specific treatments, interventions, or tests.
Designed to evaluate the safety and effectiveness of medical interventions like drugs, devices, or procedures.
Observational Studies:
Researchers observe and collect data without interfering or assigning specific treatments.
Focus on understanding associations, risk factors, or outcomes over time.
Epidemiological Studies:
Studies that investigate the distribution and determinants of health-related states or events in specific populations.
Often used to understand public health trends and risk factors.
Social and Behavioral Studies:
Studies that explore human behavior, attitudes, and social dynamics.
Examples include surveys on mental health, dietary habits, or community responses to public health initiatives.
Genetic and Genomic Studies:
Research involving human genetic material to study hereditary conditions, gene-environment interactions, or personalized medicine approaches."
"Class","partipant","DATAHUB:0002066","","role","A participant is a role played by a human individual who consents to take part in a research study, clinical trial, or public health investigation, during which they may provide data, biospecimens, responses, or undergo interventions for the purpose of contributing to scientific knowledge.","","","","Study Participant|Human Subject|Research Participant","",""
"Class","data record","DATAHUB:0002067","","","A data record is a single structured unit of data that represents all collected information for one entity, observation, or event within a dataset.","","","","Record|Data Row|Observation Record|Entry","",""
"Class","estimated sample size","DATAHUB:0002068","","study quality","An estimated sample size is a type of study design quality that represents the projected number of participants or samples expected to be enrolled or collected in a study, based on statistical considerations or study objectives.
The actual sample size may vary from this estimate depending on recruitment outcomes, eligibility criteria, or other practical factors.","","","","","",""
"Class","sample size","DATAHUB:0002069","","study quality","Sample size is a numerical quantity that represents the total number of distinct units (such as participants, specimens, or observations) that are included in a research study and captured in its dataset for the purpose of analysis and reporting.","Sample size may refer to:

The number of participants (for human studies).
The number of biospecimens (for lab-based studies).
The number of observations (for time series or repeated measures studies)","The sample size for the RADx observational study was 2,500 participants, with each participant contributing one record to the study’s dataset.","","Study Sample Size|Dataset Sample Size|Number of Study Participants|Number of participants|Number of subjects|Participant count|Subject count","",""
"Class","study population","DATAHUB:0002070","","study quality","A study population is a defined group of individuals, specimens, or units that meet the eligibility criteria for inclusion in a research study, and from which data are collected to address the study’s research questions.","","","","Research Population|Participant Pool","",""
"Class","waste water study","DATAHUB:0002071","","study","A waste water study is a study who's focus is examining the contents of waste water","","","","","",""
"Class","date shifted data","DATAHUB:0002072","","de-identification technique processed data","Date-shifted data are data that have undergone a data de-identification process in which all dates in a record have been systematically adjusted forward or backward by a consistent, randomly selected offset, preserving the temporal relationships within each record while obscuring the actual calendar dates.

","Key aspects of date shifted data are:

Applied to date fields (e.g., birth date, enrollment date, test date).

Shifts all dates for a single participant or record by the same offset to preserve internal consistency (e.g., ensuring event sequences stay intact).

Each participant (or dataset) can have a unique, random offset, or all records can use a common offset depending on the de-identification policy.

Date shifts are often used in combination with other techniques (e.g., generalization, suppression) to meet privacy standards.

Commonly used to meet HIPAA Expert Determination requirements for de-identification when dates are considered quasi-identifiers.","To de-identify participant data, the study team applied a date shift of +117 days, meaning all event dates (e.g., enrollment date, test date) were shifted forward by exactly 117 days for each participant.","","Temporally Offset Data|Date-Offset Data|Shifted Dates Data","",""
"Class","database","DATAHUB:0002073","Database","","A database is a structured collection of data that is organized, stored, and managed electronically, typically using a database management system (DBMS), to enable efficient querying, retrieval, updating, and analysis of the data.","","The clinical trial data were stored in a relational database, allowing researchers to query participant demographics, test results, and visit dates efficiently.","","Datastore","DB",""
"Class","license","","","","","","","","Software License","",""
"Class","study quality","DATAHUB:0002090","","","Study quality is a quality that inheres in a study and reflects its methodological soundness, including aspects such as design integrity, data validity, and risk of bias.","","","","","",""
"Class","study focus","DATAHUB:0002093","","study quality","A study focus is an information content entity that represents the central area of investigation, such as a disease, condition, population, or intervention of interest in a study.","","","","","",""
